board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,Scam Likely,2022-12-09 14:18:44,5b,5b,14.1754,1,False,1,1,False,True,
tension,35,The Great Leaping Mastiff,2022-12-09 14:21:47,5c,5c,15.1452,1,True,1,1,False,True,
tension,35,NB23,2022-12-09 14:23:44,5c,6a,15.9583,1,True,1,1,False,True,
tension,35,The Big Loan Foot,2022-12-09 14:27:04,6a,6a,16.082,1,True,1,1,False,True,
tension,35,Captain Tight Pants,2022-12-09 14:31:57,6b,6b,17.9268,2,True,2,3,True,True,
tension,35,Captain Tight Pants,2022-12-09 14:35:16,6b,6b,17.9268,1,True,2,4,True,True,
tension,35,Dog,2022-12-09 14:42:15,6c,6c,19.8815,1,True,1,1,False,True,
tension,35,Dog,2022-12-09 14:45:48,6c,6c,19.8815,1,True,1,2,True,True,
tension,35,Dog,2022-12-09 14:49:16,6c,6c,19.8815,1,True,1,3,True,True,
tension,35,No Brunch for this Bunch,2022-12-09 15:10:30,6b,6b,18.0,3,False,3,6,True,True,
tension,35,Tunnels and planes,2022-12-13 00:00:00,,6b+,19.0,3,False,1,3,False,False,
tension,35,Bubbles,2022-12-13 19:26:42,6a,6a+,17.0,1,False,2,2,True,True,
tension,35,Foles Gold,2022-12-13 19:26:49,6a,6a,16.0,1,False,2,2,True,True,
tension,35,The Lone Foot,2022-12-13 19:27:02,6a,6a,16.0,1,False,2,2,True,True,
tension,35,Shimmy,2022-12-13 19:27:11,6b,6b+,19.0,1,False,1,1,False,True,
tension,35,S****y Pinches for Christmas,2022-12-20 00:00:00,,6c,20.0,1,False,1,1,False,False,
tension,35,Baby Snapper,2022-12-20 18:24:21,6a,6a,16.2,1,False,2,2,True,True,
tension,35,Monkey Business,2022-12-20 18:28:45,6a,6a,16.1842,1,True,2,2,True,True,
tension,35,the creators,2022-12-20 18:34:36,6a,6a,16.0,1,True,2,2,True,True,
tension,35,Bob’s knob,2022-12-20 18:38:56,6a,6a,16.3043,1,True,2,2,True,True,
tension,35,Dram Glass,2022-12-20 18:44:43,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Mr. Monkey goes to Town,2022-12-20 21:08:33,6a+,6a+,17.3333,1,False,1,1,False,True,🐒
tension,35,Nowhere and back again,2022-12-20 21:09:07,6a,6a+,17.25,1,False,1,1,False,True,
tension,35,1 Legged Creature,2022-12-20 21:10:17,6a,6a,16.0,1,False,2,2,True,True,
tension,35,Holler,2022-12-20 21:10:22,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Foles Gold,2022-12-20 21:10:27,6a,6a,16.0,1,False,3,3,True,True,
tension,35,Shimmy,2022-12-20 21:10:34,6b,6b+,19.0,1,False,2,2,True,True,
tension,35,PincheyParker,2023-01-20 18:24:57,5b,5b,14.0,1,False,3,4,True,True,
tension,35,warm up stretch,2023-01-20 18:34:22,5b,5b,13.8824,1,False,5,7,True,True,
tension,35,PincheyParker,2023-01-20 18:39:02,5b,5b,14.0,1,False,3,5,True,True,
tension,35,TOOTH,2023-01-20 18:42:10,5b,5b,14.0,1,False,1,1,False,True,
tension,35,bell bottoms,2023-01-20 18:50:54,6a,6a,16.0,2,False,1,2,False,True,
tension,35,Dos e Dos,2023-01-20 19:11:06,6b,6b,17.866,1,True,1,1,False,True,
tension,35,BOI,2023-01-20 19:18:53,6b,6b,18.0787,1,True,1,1,False,True,
tension,35,pickle juice,2023-02-03 19:24:38,5b,5b,13.8406,1,False,1,1,False,True,
